"trait","n_snps","n_genes_in_rds"
"AEG_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05_11",6106358,0
"Cer_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta2_SAP_bialleles_MAF_0.05_11",6106358,0
"DG_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta3_SAP_bialleles_MAF_0.05_11",6106358,1
"DGDG_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta4_SAP_bialleles_MAF_0.05_11",6106358,0
"FA_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta5_SAP_bialleles_MAF_0.05_11",6106358,80
"GalCer_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta6_SAP_bialleles_MAF_0.05_11",6106358,0
"LPC_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta7_SAP_bialleles_MAF_0.05_11",6106358,7
"LPE_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta8_SAP_bialleles_MAF_0.05_11",6106358,0
"MG_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta9_SAP_bialleles_MAF_0.05_11",6106358,2
"MGDG_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta10_SAP_bialleles_MAF_0.05_11",6106358,5
"PA_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta1_SAP_bialleles_MAF_0.05_11",6106358,593
"PC_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta2_SAP_bialleles_MAF_0.05_11",6106358,0
"PE_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta3_SAP_bialleles_MAF_0.05_11",6106358,0
"PG_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta4_SAP_bialleles_MAF_0.05_11",6106358,0
"PS_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta5_SAP_bialleles_MAF_0.05_11",6106358,0
"SM_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta6_SAP_bialleles_MAF_0.05_11",6106358,8
"SQDG_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta7_SAP_bialleles_MAF_0.05_11",6106358,3
"Sum_AEG_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta4_SAP_bialleles_MAF_0.05_15",6106358,1121
"Sum_AEG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta8_SAP_bialleles_MAF_0.05_15",6106358,1396
"Sum_AEG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta8_SAP_bialleles_MAF_0.05_15",6106358,1501
"Sum_AEG_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta6_SAP_bialleles_MAF_0.05_15",6106358,640
"Sum_AEG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_15",6106358,1416
"Sum_AEG_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta2_SAP_bialleles_MAF_0.05_15",6106358,1084
"Sum_AEG_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta3_SAP_bialleles_MAF_0.05_15",6106358,1009
"Sum_AEG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta9_SAP_bialleles_MAF_0.05_15",6106358,1447
"Sum_AEG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta9_SAP_bialleles_MAF_0.05_15",6106358,1282
"Sum_AEG_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta3_SAP_bialleles_MAF_0.05_15",6106358,734
"Sum_AEG_over_PC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta10_SAP_bialleles_MAF_0.05_15",6106358,1163
"Sum_AEG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_15",6106358,1298
"Sum_AEG_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta2_SAP_bialleles_MAF_0.05_15",6106358,1300
"Sum_AEG_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta4_SAP_bialleles_MAF_0.05_15",6106358,1043
"Sum_AEG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta5_SAP_bialleles_MAF_0.05_15",6106358,1297
"Sum_AEG_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta10_SAP_bialleles_MAF_0.05_15",6106358,1209
"Sum_AEG_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta7_SAP_bialleles_MAF_0.05_15",6106358,1120
"Sum_Cer_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta10_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_Cer_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta1_SAP_bialleles_MAF_0.05_15",6106358,0
"Sum_Cer_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta4_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_Cer_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta2_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_Cer_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta7_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_Cer_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta8_SAP_bialleles_MAF_0.05_14",6106358,2
"Sum_Cer_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta9_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_Cer_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta2_SAP_bialleles_MAF_0.05_15",6106358,0
"Sum_Cer_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta5_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_Cer_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta6_SAP_bialleles_MAF_0.05_15",6106358,25
"Sum_Cer_over_PC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part05.parta3_SAP_bialleles_MAF_0.05_15",6106358,0
